REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS
201650000,1/1/2016,0000,DRUG/NARCOTICS OFFENSES,600 BLK DRESDEN DR
201650002,1/1/2016,0042,SIMPLE ASSAULT,800 BLK FORREST DR
201600001,1/1/2016,0132,CURFEW,41ST / ORCUT
201600002,1/1/2016,0136,CURFEW,41ST ST / ORCUTT AVE
201600004,1/1/2016,0139,CURFEW,41ST ST / ORCUTT AVE
201600005,1/1/2016,0141,CURFEW,41ST ST / ORCUTT AVE
201650004,1/1/2016,0148,AGGRAVATED ASSAULT,0 BLK BERNARDINE DR
201650005,1/1/2016,0207,WEAPON OFFENSE,300 BLK CIRCUIT LN
201600006,1/1/2016,0242,THEFT FROM BUILDING,500 BLK RICHNECK RD
201650006,1/1/2016,0346,ROBBERY,41ST ST / JEFFERSON AVE
201650006,1/1/2016,0346,WEAPON OFFENSE,41ST ST / JEFFERSON AVE
201600008,1/1/2016,0351,DAMAGE PROPERTY,400 BLK YOUNGS MILL LN
201650008,1/1/2016,0406,LEAVING THE SCENE,POTTERS LN / WARWICK BLVD
201600009,1/1/2016,0420,JUVENILE - RUNAWAY,800 BLK 22ND ST
201650009,1/1/2016,0445,SIMPLE ASSAULT,900 BLK BACKSPIN CT
201650010,1/1/2016,0724,SIMPLE ASSAULT,3100 BLK MADISON AVE
201650010,1/1/2016,0724,LARCENY,3100 BLK MADISON AVE
201650011,1/1/2016,0736,SIMPLE ASSAULT,200 BLK ROTUNDA CIR
201650003,1/1/2016,0800,WEAPON OFFENSE,33RD ST / ORCUTT AVE
201600011,1/1/2016,0853,THEFT FROM VEHICLE,600 BLK SEA PINE LN